cuisines,Cuisines Updated
 Afghan,Afghani
 Afghani,Afghani
 African, African
 American, American
 Andhra,South Indian
 Arabian, Arabian
 Asian,Oriental
 Assamese,North Eastern
 Awadhi,North Indian
 Bakery, Bakery
 Bar Food,Bar
 BBQ,BBQ
 Belgian,European
 Bengali,North indian
 Beverages, Beverages
 Bihari,North indian
 Biryani,South Indian
 British,European
 Bubble Tea,Oriental
 Burger,American
 Burmese,Oriental
 Cafe, Cafe
 Cantonese,Oriental
 Charcoal Chicken,American
 Chettinad,South Indian
 Chinese,South Indian
 Coffee,Beverages
 Continental,European
 Desserts, Desserts
 Drinks Only,Bar
 European, European
 Fast Food, Fast Food
 Finger Food,Fast Food
 French, European
 German, European
 Goan,South Indian
 Greek, European
 Grill, Grill
 Gujarati,North Indian
 Healthy Food, Healthy Food
 Hot dogs,Fast Food
 Hyderabadi,Mughlai
 Ice Cream,Desserts
 Indian,Indian
 Indonesian,Oriental
 Iranian,Mediterranean
 Italian,European
 Japanese,Oriental
 Jewish,Kosher
 Juices, Beverages
 Kashmiri,North Indian
 Kebab,Mughlai
 Kerala,South Indian
 Konkan,South Indian
 Korean,Oriental
 Lebanese,Mediterranean
 Lucknowi,North Indian
 Maharashtrian,North Indian
 Malaysian,Oriental
 Malwani,South Indian
 Mangalorean,South Indian
 Mediterranean,Mediterranean
 Mexican,American
 Middle Eastern,Mediterranean
 Mithai,Desserts
 Modern Indian,Indian
 Momos,Oriental
 Mongolian,Oriental
 Mughlai,Mughlai
 Naga,North Eastern
 Nepalese,North Eastern
 North Eastern,North Eastern
 North Indian,North Indian
 Oriya,North Indian
 Paan,North Indian
 Pan Asian,Asian
 Parsi,North Indian
 Pizza,European
 Rajasthani,North Indian
 Raw Meats,NonVegetarian
 Roast Chicken,NonVegetarian
 Rolls,Fast Food
 Salad,Healthy Food
 Sandwich,Fast Food
 Seafood, Seafood
 Sindhi,North Indian
 Singaporean,Oriental
 South American,American
 South Indian,South Indian
 Spanish,European
 Sri Lankan,South Asian
 Steak,American
 Street Food,Fast Food
 Sushi,Oriental
 Tea,Beverages
 Tex-Mex,American
 Thai,Oriental
 Tibetan,Oriental
 Turkish,Mediterranean
 Vegan,Vegan
 Vietnamese,Oriental
 Wraps,Fast Food
African,African
American,American
Andhra,South Indian
Assamese,North Indian
Australian,Australian
Awadhi,North Indian
Bakery,Bakery
Bar Food,Bar
BBQ,BBQ
Belgian,European
Bengali,North Indian
Beverages,Beverages
Bihari,North Indian
Biryani,Mughlai
Bohri,Indian
British,European
Burger,Fast Food
Burmese,Asian
Cafe,Cafe
Charcoal Chicken,NonVegetarian
Chettinad,South Indian
Chinese,Oriental
Coffee,Coffee
Continental,Continental
Desserts,Desserts
Drinks Only,Beverages
European,European
Fast Food,Fast Food
Finger Food,Fast Food
French,European
German,European
Goan,South Indian
Gujarati,North Indian
Healthy Food,Healthy Food
Hyderabadi,Mughlai
Ice Cream,Desserts
Indonesian,Oriental
Iranian,Mediterranean
Italian,European
Japanese,Oriental
Juices,Healthy Food
Kashmiri,North Indian
Kebab,Mughlai
Kerala,South Indian
Konkan,South Indian
Korean,Oriental
Lebanese,Mediterranean
Lucknowi,North Indian
Maharashtrian,North Indian
Malaysian,Oriental
Mangalorean,South Indian
Mediterranean,Mediterranean
Mexican,American
Middle Eastern,Mediterranean
Mithai,Desserts
Modern Indian,Indian
Momos,Oriental
Mughlai,Mughlai
Naga,North Eastern
Nepalese,North Eastern
North Eastern,North Eastern
North Indian,North Indian
Oriya,North Indian
Parsi,Indian
Pizza,European
Portuguese,European
Rajasthani,North Indian
Roast Chicken,NonVegetarian
Rolls,Fast Food
Russian,European
Salad,Healthy Food
Sandwich,Healthy Food
Seafood,Seafood
Singaporean,Oriental
South American,American
South Indian,South Indian
Spanish,European
Steak,European
Street Food,Fast Food
Sushi,Oriental
Tamil,South Indian
Tea,Beverages
Thai,Oriental
Tibetan,Oriental
Turkish,Mediterranean
Vietnamese,Oriental
